Fri Mar 14 15:57:28 2025    financial.prof

         312307 function calls (312143 primitive calls) in 2.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:129(__next__)
        2    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:430(close)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:666(reset)
        4    0.000    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:178(_call_parse)
        1    0.000    0.000    0.002    0.002 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:231(_parse_header_lines)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/http/client.py:1138(putrequest)
        1    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/urllib3/response.py:316(__init__)
       58    0.000    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
      165    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/ssl.py:504(set_alpn_protocols)
     13/6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:451(_parse_sub)
        1    0.000    0.000    0.000    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/urllib3/_collections.py:240(__init__)
        4    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/message.py:600(get_content_type)
    28/10    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:177(getwidth)
        1    0.000    0.000    0.210    0.210 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/urllib3/connection.py:192(_new_conn)
        6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_compiler.py:514(_compile_info)
        2    0.000    0.000    0.002    0.001 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/encodings/__init__.py:71(search_function)
        1    0.000    0.000    2.256    2.256 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/requests/api.py:62(get)
        6    0.000    0.000    0.000    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/re/_parser.py:970(parse)
